GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TOSCAna,de.toscana.transformator.util,ConsoleColors,3,11,0,0,1,1,1,1,1,1
TOSCAna,de.toscana.transformator.model,ArtifactPath,20,47,3,5,6,12,5,3,2,2
TOSCAna,de.toscana.transformator.model,ArtifactType,12,81,1,3,2,12,3,6,2,5
TOSCAna,de.toscana.transformator.model,ConnectsToRelationship,23,71,2,6,2,12,3,5,1,3
TOSCAna,de.toscana.transformator.model,ServiceNode,54,242,7,19,10,46,10,15,4,8
TOSCAna,de.toscana.transformator.model,MachineNode,22,47,1,1,4,8,4,3,3,3
TOSCAna,de.toscana.transformator.model,Node,49,321,18,44,7,57,20,25,2,11
TOSCAna,de.toscana.transformator.model,Relationship,28,87,3,11,5,18,5,7,2,2
TOSCAna,de.toscana.transformator.model,ParsingException,14,9,0,0,6,4,3,2,3,2
TOSCAna,de.toscana.transformator.model,HostedOnRelationship,20,17,1,1,1,6,1,2,0,2
TOSCAna,de.toscana.transformator.model,TOSCAliteModel,58,343,18,32,9,77,20,18,2,9
TOSCAna,de.toscana.transformator,Controller,164,0,14,0,41,0,13,0,6,0
TOSCAna,de.toscana.transformator,Main,49,78,6,4,16,25,6,5,3,3
TOSCAna,de.toscana.transformator,ArchiveHandler,6,135,2,12,4,29,2,9,0,4
TOSCAna,de.toscana.transformator,ArchiveHandler.ArchiveException,0,7,0,0,0,3,0,1,0,1
TOSCAna,de.toscana.transformator.engine,XMLUtils,3,0,0,0,1,0,1,0,1,0
TOSCAna,de.toscana.transformator.engine,Engine,47,0,2,0,17,0,5,0,4,0
TOSCAna,de.toscana.transformator.engine,Creator,71,0,8,0,18,0,8,0,4,0
TOSCAna,de.toscana.transformator.engine,ExampleClass,7,0,0,0,2,0,2,0,2,0
TOSCAna,de.toscana.transformator.engine,CheckUtils,5,20,1,3,2,3,2,2,1,1
